nabci_id,name,description,jvs_in_bcr
11,Prairie Potholes,"The Prairie Pothole region is a glaciated area of mixed-grass prairie in the west and tallgrass prairie in the east. This is the most important waterfowl production area on the North American continent, despite extensive wetland drainage and tillage of native grasslands. Breeding dabbling duck density may exceed 100 pairs per square mile in some areas during years with favorable wetland conditions. The region comprises the core of the breeding range of most dabbling duck and several diving duck species, as well as providing critical breeding and migration habitat for over 200 other bird species, including such priority species as Franklin’s Gull, Yellow Rail, and Piping Plover. Baird’s Sparrow, Sprague’s Pipit, Chestnut-collared Longspur, Wilson’s Phalarope, Marbled Godwit, and American Avocet are among the many priority non-waterfowl species breeding in this region. Wetland areas also provide key spring migration sites for Hudsonian Godwit, American Golden-Plover, White-rumped Sandpiper, and Buff-breasted Sandpiper. Continued wetland degradation and fragmentation of remaining grasslands threaten future suitability of the Prairie Pothole region for all of these birds.","Prairie Pothole, Prairie Habitat"
12,Boreal Hardwood Transition,"This region is characterized by coniferous and northern hardwood forests, nutrient-poor soils, and numerous clear lakes, bogs, and river flowage. All of the world’s Kirtland’s Warblers breed here, as do the majority of Golden-winged Warblers and Connecticut Warblers. Other important forest birds include the Black-billed Cuckoo, Veery, and Rose-breasted Grosbeak. Great Lakes coastal estuaries, river flowage, large shallow lakes, and natural wild rice lakes are used by many breeding and migrating water birds. Yellow Rail are among the important wetland species, and islands in the Great Lakes support large colonies of Caspian and Common Terns. Although breeding ducks are sparsely distributed, stable water conditions allow for consistent reproductive success. Wood Duck, Mallard, American Black Duck, Ring-necked Duck, and Common Goldeneye are common breeding species in this region. Threats to wetland habitat in this region include recreational development, cranberry operations, peat harvesting, and drainage.","Upper Mississippi River/Great Lakes, Eastern Habitat"
13,Lower Great Lakes/St.Lawrence Plain,"The Lower Great Lakes/St. Lawrence Plain covers the low-lying areas to the south of the Canadian Shield and north of various highland systems in the United States. In addition to important lakeshore habitats and associated wetlands, this region was originally covered with a mixture of oak-hickory, northern hardwood, and mixed-coniferous forests. Very little of the forests remains today due primarily to agricultural conversion. The highest priority bird in remnant forests is the Cerulean Warbler. Because of agriculture, this is now the largest and most important area of grassland in the Northeast, providing habitat for such species as Henslow’s Sparrow and Bobolink. Agricultural abandonment may temporarily favor shrub-nesting species, such as Golden-winged Warbler and American Woodcock, but increasingly, agricultural land is being lost to urbanization. This physiographic area also is extremely important to stopover migrants, attracting some of the largest concentrations of migrant passerines, hawks, shorebirds, and waterbirds in eastern North America. Much of these concentrations occurs along threatened lakeshore habitats.","UpperMississippi River/Great Lakes,Atlantic Coast, Eastern Habitat"
14,Atlantic Northern Forests,"The nutrient-poor soils of northernmost New England and the Adirondack Mountains support spruce-fir forests on more northerly and higher sites and northern hardwoods elsewhere. Virtually all of the world’s Bicknell’s Thrush breed on mountaintops in this region. Other important forest birds include the Canada Warbler and Bay-breasted Warbler. Coastal wetlands are inhabited by Nelson’s Sharp-tailed Sparrow; rocky intertidal areas are important for wintering Purple Sandpipers; and muddy intertidal habitats are critical as Semipalmated Sandpiper staging sites. Common Eiders and Black Guillemots breed in coastal habitats, while Leach’s Storm-Petrels, gulls, terns, and the southernmost populations of many breeding alcids nest on offshore islands. Beaver ponds and shores of undisturbed lakes and ponds provide excellent waterfowl breeding habitat, particularly for American Black Duck, Hooded and Common Mergansers, and Common Goldeneye. The Hudson and Connecticut River valleys are important corridors for Brant, Green-winged Teal, and other waterfowl migrating from New England and Quebec. Because inland wetlands freeze, coastal wetlands are used extensively by dabbling ducks, sea ducks, and geese during winter and migration.","Atlantic Coast, Eastern Habitat"
15,Sierra Nevada,"The Sierra Nevada range rises sharply from the Great Basin on the east and slopes gently toward the Central Valley of California on the west. Vegetation at lower elevations is dominated by ponderosa pine on the west and lodgepole pine on the east, with fir, spruce, and alpine tundra at higher elevations. The area provides habitat for Hermit Warbler, White-headed Woodpecker, and Mountain Quail at higher elevations and Nuttall’s Woodpecker, Oak Titmouse, and California Thrasher on the western slopes.","California Riparian Habitat, Central Valley, Intermountain West"
16,Southern Rockies Colorado Plateau,"This topographically complex region includes the Wasatch and Uinta Mountains to the west and the Southern Rocky Mountains to the east, separated by the rugged tableland of the Colorado Plateau. Various coniferous forest types (often lodgepole pine) interspersed with aspen dominate higher elevations. These are replaced by piñon-juniper woodlands on the lower plateaus. Important birds also segregate into elevational bands, with Brown-capped Rosy-Finch and White-tailed Ptarmigan in alpine tundra, Williamson’s Sapsucker in conifers, Virginia’s Warbler and Lewis’ Woodpecker in montane shrub sites, and most of the world’s breeding Gray Vireos in piñon-juniper. High arid plains and dry upland short-grass prairies provide critical breeding areas for Mountain Plover. San Luis Valley wetlands and surrounding uplands support one of the highest densities of nesting waterfowl in North America and provide migration habitat for Sandhill Cranes and other wetland species.",Intermountain West
17,Badlands and Prairies,"This semi-arid rolling plain is dominated by a mixed-grass prairie that lies west and south of the glaciated Prairie Pothole region, east of the Rocky Mountains, and north of the true shortgrass prairie. Due in large part to the continued dominance of ranching as a land use, many contiguous grassland tracts of significant size persist in this area. As a result, this area is habitat for some of the healthiest populations of high priority dry-grassland birds on the continent, including Mountain Plover, McCown’s Longspur, and Long-billed Curlew. The relatively small number of wetlands in the region, including small impoundments created to serve as livestock water sources, receives intensive use by upland nesting waterfowl and broods.",Northern Great Plains
18,Shortgrass Prairie,"The shortgrass prairie lies in the rainshadow of the Rocky Mountains, where arid conditions greatly limit the stature and diversity of vegetation. Some of the continent’s highest priority birds breed in this area, including the Mountain Plover, Long-billed Curlew, Burrowing Owl, Lark Bunting, Grasshopper Sparrow and McCown’s Longspur. Southern areas winter large numbers of three longspur species: McCown’s, Lapland and Chestnut-collared. Reasons for the precarious status of some these birds are poorly understood, but could involve a reduction in the diversity of grazing pressure as bison and prairie dogs have largely been replaced by cattle, and the gradual shift from once expansive prairies to fragmentation by agricultural interests. The BCR, along with BCR 19, hosts an endemic shrub community known as shinnery which in southern portions of the BCR hosts one of the species with the highest threats – the Lesser Prairie-Chicken. A few large rivers, such as the Platte, Arkansas and Canadian,drain out of the Rocky Mountains through this region toward the Mississippi. These rivers created broad, braided and treeless wetlands that are heavily used by migrating waterfowl, shorebirds and cranes. A hydrological simplification has resulted in the invasion of trees and shrubs that support breeding eastern riparian birds, but otherwise greatly reduce the value of the area’s wetlands. Playa lakes, the most numerous wetlands in the BCR, are shallow, ephemeral wetlands that, when wet, support many wintering ducks including Northern Pintail, migrant shorebirdsincluding Baird’s and Least Sandpiper, and migrant Black Tern and Franklin’s Gull among other waterbirds. Saline lakes in Texas and New Mexico support important breeding species, such as the Snowy Plover and wintering populations of Sandhill Cranes. For further information on this region, visit the Playa Lakes Joint Venture website.",Playa Lakes
19,Central Mixed Grass Prairie,"The central mixed-grass prairie extends from the edge of shortgrass prairie on the west to the beginning of the tallgrass prairie and savanna-like habitat to the east. Large areas in the center of this region have been converted to agriculture, though extensive areas of high-quality grassland in the Nebraska Sandhills and excellent shrublands in Texas remain. The BCR includes some of the best habitat for priority species such as Greater Prairie-Chicken, Scissor-tailed Flycatcher and Grasshopper Sparrow.Dickcissel abundance is centered squarely over this BCR. In winter this BCR hosts large numbers of Harris’s Sparrow. Sandbars along the larger rivers host a large percentage of the continent’s breeding Interior Least Terns. Riparian woodland areas host Red-headed Woodpeckers and the continent’s highest Mississippi Kite population. The region is a continentally important migration area for shorebirds and is home to three recognized Western Hemisphere Shorebird Reserve Network sites for priority shorebirds, including American Avocet, Semipalmated Sandpiper and Buff-breasted Sandpiper.An estimated 90 percent of all the world’s White-rumped Sandpipers migrate through central Kansas in the spring. Between 10 and 14 million waterfowl migrate through Nebraska and utilize the staging habitat in the seasonal, depressional rainwater basins and other wetlands. The mid-continent population of Northern Pintail and White-fronted Goose are particularly dependent on these wetland resources. However, wetland drainage, modification and sediment accumulation have jeopardized the integrity of these important landscape features. Conservation efforts of these resources center on the conversion of agricultural lands back to healthy grasslands and wetlands. For further information on this region, visit the Playa Lakes Joint Venture website or the Rainwater Basin Joint Venture website.","Rainwater Basin, Playa Lakes"
20,Edwards Plateau,"This dissected Hill Country of central Texas is clearly demarcated on the east and south by a fault line and grades into the Chihuahuan Desert and Great Plains to the west and north. The native vegetation is a mesquite, juniper, and oak savanna that is the core of the breeding range of the endangered Black-capped Vireo and Golden-cheeked Warbler. Other priority breeding birds include the Scissor-tailed Flycatcher and Bell’s Vireo. Intensive grazing by goats has caused vegetation to shift from grass to thicket dominance. Suburban expansion is a more recent threat to bird habitat in the Edwards Plateau.",Oaks and Prairies
21,Oaks and Prairies,"This transition zone between the Great Plains and the forests of the eastern United States is a complex mix of prairie, savanna, cross timbers, and shrubland. Among the priority landbirds that use this mix of woodland and open country are the Scissor-tailed Flycatcher, Painted Bunting, and Mississippi Kite, with a small population of Black-capped Vireos in areas of denser shrub. Agriculture and urbanization have made tremendous impacts on this region, leaving very little natural habitat available for healthy priority bird populations.",Oaks and Prairies
22,Eastern Tallgrass Prairie,"This region includes what was formerly the tallest and lushest grasslands of the Great Plains. Beech-maple forest dominated in the eastern sections, and the prairie and woodland ecotone between the two was marked by a broad and dynamic oak-dominated savanna. The modern landscape of the Eastern Tallgrass Prairie is dominated by agriculture. Threats to the upland and wetland habitats of this region include urbanization, recreational development, and agricultural expansion. High priority grassland birds that persist in some areas include the Greater Prairie-Chicken and Henslow’s Sparrow. Cerulean Warblers are in some wooded areas, and Red-headed Woodpecker leads the list of savanna specialists.",Upper Mississippi River/Great Lakes
23,Prairie Hardwood Transition,"Prairies once dominated this region in the west and south and beech-maple forest in the north and east, separated by an oak savanna. There are still remnant populations of Greater Prairie-Chicken in grasslands and Cerulean Warbler and other forestbreeding migrants to the northeast. Early successional habitat is used by Golden-winged Warblers, Henslow’s Sparrows, and American Woodcock. Glaciation has resulted in numerous pothole-type wetlands and shallow lakes, and the Great Lakes’ coastal estuaries are the destinations of many rivers. Additional important waterfowl lakeshore-wetland habitats range from emergent marshes and diked impoundments to normally ice-free deepwater habitats valuable for diving ducks. This region is second only to the Prairie Pothole region in terms of support of high densities of breeding waterfowl, including Mallard, Blue-winged Teal, Wood Duck, and Redhead.",Upper Mississippi River/Great Lakes
24,Central Hardwoods,"The Ozark Mountains on the west and Interior Low Plateaus on the east are geologically similar to each other but are bisected by the floodplain of the Mississippi River and its larger tributaries. The entire area is dominated by an oak-hickory deciduous forest inhabited by interior forest species, such as Cerulean Warbler, Worm-eating Warbler, and Louisiana Waterthrush. The region includes some of the most extensive forests in the middle of the continent and is probably a source for populations of these birds for many surrounding areas. Among early succession birds, this is the last major stronghold of the Eastern Bewick’s Wren. Restoration of prairie, glade, and barren habitat is a conservation priority. Although Wood Ducks are the primary breeding waterfowl, the region holds more significance for waterfowl as a migratory staging area. The floodplains of the river systems exhibit a diversity of habitats (e.g., floodplain forests, emergent wetlands, and submerged aquatic beds), all of which are utilized by migrating waterfowl. Large concentrations of waterfowl, including Mallard, Lesser Scaup, and Canvasback, are common during both spring and fall migration. Threats to the habitats of the region include agricultural conversion of floodplain habitats and urbanization.",Central Hardwoods
25,West Gulf Coastal Plain/Ouachitas,"Pines dominate this area, largely shortleaf pine in the north, including the Ouachita Mountains, and longleaf pine in the south. This westernmost part of the eastern United States forest also includes hardwood-dominated bottomlands along the Arkansas River and other drainages. Red-cockaded Woodpecker is the highest priority bird in pine habitat, which is also inhabited by Bachman’s Sparrow and Brown-headed Nuthatch. Conversion of the native pine forests to industrial loblolly plantations provides some bird habitat but is less useful for the highest priority species. The river and stream bottoms provide habitat used by Swainson’s Warbler and large numbers of nesting herons and egrets. Bottomland hardwoods and associated wetlands support substantial wintering populations of a number of waterfowl species—principally Mallards, and breeding and wintering Wood Ducks—and are a primary migration corridor for significant numbers of other dabbling ducks. The primary threats to bottomland hardwood wetlands in the region are from reservoirs and timber harvest and subsequent conversion to pine plantation, pasture, or other land uses.",Lower Mississippi Valley
26,Mississippi Alluvial Valley,"The Lower Mississippi Alluvial Valley consists of approximately 24 million acres of alluvial floodplain south of the Mississippi River’s confluence with the Ohio River. Prior to European settlement, this was the greatest bottomland hardwood forest on earth and was subject to massive annual flood events of the Mississippi River and its tributaries. These forested wetlands were the main wintering area for mid-continent Mallards, Wood Ducks, and other waterfowl species. Flood control and deforestation for agriculture began more than 100 years ago. Today, less than 25 percent of the region remains forested, and flooding has been reduced by about 90 percent. Despite these changes, the region still winters large numbers of waterfowl, estimated at about 9 percent of the continental duck population. With the large reduction in native habitat and natural flooding, the major waterfowl management issue today is providing enough foraging habitat on managed private and public lands to reliably meet the needs of wintering ducks and geese. Many shorebird species also use managed wetlands for migration stopover sites. Remnant forests harbor populations of Swainson’s Warbler, prothonotary Warbler, and Swallow-tailed Kite. The region provides excellent colonial waterbird habitat, particularly to the south where large numbers of White Ibis, Yellow-crowned Night-Heron, and other herons and egrets nest.",Lower Mississippi Valley
27,Southeastern Coastal Plain,"This region includes extensive riverine swamps and marsh complexes along the Atlantic Coast. Interior forest vegetation is dominated by longleaf, slash, and loblolly pine forests. Priority landbirds include the Red-cockaded Woodpecker, Painted Bunting, Bachman’s Sparrow, Swainson’s Warbler, and Swallow-Tailed Kite. Coastal intertidal habitats provide critical wintering areas for American Oystercatcher, important wintering and spring migration areas for Short-billed Dowitcher and Dunlin, and important fall staging areas for Red Knot. Sizable numbers of Brown Pelicans and various terns breed on offshore islands. Coastal areas provide important nesting and foraging habitats for large numbers of herons, egrets, ibis, terns, and other species. Coastal areas winter large numbers of Canvasback, Mallard, American Wigeon, Redhead, and the majority of the continent’s population of Tundra Swans. Managed impoundments in coastal areas are important to migrating and wintering dabbling ducks, including American Black Duck.","Atlantic Coast, East Gulf Coastal Plain"
28,Appalachian Mountains,"Included in this area are the Blue Ridge, the Ridge and Valley Region, the Cumberland Plateau, the Ohio Hills, and the Allegheny Plateau. The rugged terrain is generally dominated by oak-hickory and other deciduous forest types at lower elevations and by various combinations of pine, hemlock, spruce, and fir in higher areas. While flatter portions are in agricultural use, the majority of most segments of this region are forested. Priority forest birds include Cerulean Warbler at low elevations and Blackthroated Blue Warbler at high elevations. Golden-winged Warblers are in early successional areas, and Henslow’s Sparrows are in grasslands. While not as important for waterfowl as coastal regions, the Appalachian region contains the headwaters of several major eastern river systems that are used by various waterfowl species during migration. In addition, large wetland complexes, such as Canaan Valley in West Virginia, and isolated beaver-created wetlands provide habitat for Wood Duck breeding.",Appalachian Mountain
29,Piedmont,"The Piedmont is transitional between the mountainous Appalachians and the flat coastal plain and is dominated by pine and mixed southern hardwoods. Priority landbirds include Redcockaded Woodpecker, Bachman’s Sparrow, and Brown-headed Nuthatch. Interior wetlands, reservoirs, and riverine systems provide migration and wintering habitat for waterfowl and some shorebirds. The fragmented patchwork of pasture, woodlots, and suburban sprawl that now dominates most of this region creates significant bird conservation challenges.",Atlantic Coast
30,New England/MidAtlantic Coasts,"This area has the densest human population of any region in the country. Much of what was formerly cleared for agriculture is now either in forest or in residential use. The highest priority birds are in coastal wetland and beach habitats, including the Saltmarsh Sharp-tailed Sparrow and Nelson’s Sharp-tailed Sparrow, Seaside Sparrow, Piping Plover, American Oystercatcher, American Black Duck, and Black Rail. The region includes critical migration sites for Red Knot, Ruddy Turnstone, Sanderling, Semipalmated Sandpiper, and Dunlin. Most of the continental population of the endangered Roseate Tern nests on islands off the southern New England states. Other terns and gulls nest in large numbers, and large mixed colonies of herons, egrets, and ibis may form on islands in the Delaware and Chesapeake Bay regions. Estuarine complexes and embayments created behind barrier beaches in this region are extremely important to wintering and migrating waterfowl, including approximately 65 percent of the total wintering American Black Duck population, along with large numbers of Greater Scaup, Tundra Swan, Gadwall, Brant, and Canvasback. Exploitation and pollution of Chesapeake Bay and other coastal zones, and the accompanying loss of submerged aquatic vegetation, have significantly reduced their value to waterfowl.",Atlantic Coast
31,Peninsular Florida,"The northern portion of Peninsular Florida is a transitional zone where the pine and bottomland hardwood elements of the Coastal Plain begin to merge with the tropical elements of south Florida. Many of the important pine and bottomland birds of the Coastal Plain, including Red-cockaded Woodpecker and Swallow-tailed Kite, extend into this area. The central scrub-oak Lake Wales Ridge is a center of endemism that includes all of the world’s Florida Scrub-Jays. Colonies of Wood Stork, Glossy Ibis, and19 other herons and egrets are found throughout the region, while coastal islands support important continental breeding populations of Brown Pelicans, Black Skimmers, and various terns. Farther south, in the subtropical zone of the state, a normally frost-free climate creates conditions for mangroves, everglades, and tropical hammocks, tying this area more closely to the Bahamas and Caribbean than to the rest of the United States. Snail Kite, Shorttailed Hawk, and Limpkin breed in interior wetlands, with Mangrove Cuckoo and Black-whiskered Vireo in coastal mangroves. One of the greatest wading-bird concentrations in the world is in the Everglades. White-crowned Pigeons inhabit the Florida Keys, and the only Brown Noddy, Sooty Tern, and Magnificent Frigatebird breeding site in the country is on the Dry Tortugas. Wintering waterfowl abound in coastal waters, including large numbers of Lesser Scaup, Ring-necked Duck, and Green-winged Teal. The endemic Florida subspecies of Mottled Duck, Wood Duck, and Fulvous Whistling-Duck also breed in the area. Most of the remaining nesting Snowy Plovers in the Southeast occur along Florida’s Gulf Coast. Extraordinary numbers of wintering and intransit shorebirds also use the region, particularly Short-billed Dowitchers, but also Piping Plover, Dunlin, and Red Knot.",Atlantic Coast
